c g $max_lat $min_lat $max_lon $min_lon $center_lat $center_lon
c p #nodes #edges
g footway
e 32825711 33712096 206.198
f 7.3815072 51.3842918 7.3816144 51.3843388 7.3816937 51.3843613 7.3820705 51.3844362 7.3823582 51.3844963 7.3828581 51.3845956 7.3835412 51.3847376 7.3838857 51.3848068 7.3839779 51.3848251 7.3840836 51.3848466 7.3841248 51.3848546
g secondary
e 32825727 1620967081 150.382
f 7.3700096 51.3736313 7.369991 51.3735779 7.3699694 51.373491 7.3699677 51.3734666 7.3699607 51.3733672 7.3699675 51.3732596 7.3699908 51.3731117 7.3700082 51.3730111 7.3700184 51.3729521 7.3700304 51.3728836 7.3700398 51.3727981 7.3700489 51.3726899 7.3700492 51.3725982 7.370046 51.3725318 7.3700304 51.3724548 7.3700139 51.3723895
g
e 32825731 279572746 845.1499999999999
f 7.36909 51.3701885 7.3690233 51.3700875 7.3689493 51.3699959 7.36889 51.3699368 7.3688162 51.3698654 7.3686502 51.3697453 7.3682374 51.3694474 7.368188 51.3694103 7.3679876 51.3692599 7.367932 51.3692182 7.3678525 51.3691586 7.367828 51.3691406 7.3677915 51.3691139 7.3674299 51.3688487 7.3673366 51.368886 7.3672797 51.3688982 7.3671951 51.3689066 7.3671098 51.3689059 7.3670469 51.3689013 7.367022 51.3688994 7.3669325 51.3688924 7.3667556 51.3688759 7.3665669 51.3688474 7.3663088 51.3688051 7.3660501 51.3687638 7.3658906 51.3687398 7.3655241 51.3686914 7.3654063 51.3686725 7.3652872 51.3686492 7.3652504 51.3686396 7.3651373 51.3685998 7.3648455 51.3684898 7.364635 51.3684168 7.364495 51.3683846 7.3643122 51.3683356 7.3640846 51.3682686 7.3637264 51.3681631 7.3635507 51.3681231 7.3634388 51.3681221 7.3633297 51.3681425 7.3627965 51.3682616 7.3627609 51.368267 7.362356 51.3683281 7.3623056 51.3683372 7.3621352 51.3683681 7.3620944 51.3683755 7.3618529 51.3684078 7.3616585 51.3684144 7.361529 51.3684086 7.3614017 51.3683966 7.3611836 51.3683661 7.3604921 51.3682568 7.3604427 51.3682607 7.3602915 51.368294 7.3601789 51.3683518 7.3597774 51.3685838 7.3596516 51.3686142 7.3595419 51.368631 7.3589929 51.3685995
g unclassified
e 32825731 1588338061 571.796
f 7.36909 51.3701885 7.3699226 51.3700149 7.3699473 51.3699908 7.3698913 51.369776 7.3696463 51.369477 7.3694163 51.3692166 7.36936 51.3691273 7.3693493 51.369022 7.3693828 51.3689718 7.3694533 51.368933 7.3695404 51.3689103 7.3703736 51.3689627 7.3705419 51.368983 7.3710346 51.3690334 7.3711343 51.369022 7.3712251 51.3690029 7.371322 51.3689732 7.3714384 51.3689266 7.3722578 51.3685983 7.3724177 51.3685456 7.3728809 51.3684332 7.3729969 51.3683868 7.3733791 51.3682042 7.3734636 51.3681859 7.3735627 51.3682154 7.3736078 51.3682576 7.3736041 51.3684306 7.3735567 51.3685451 7.3735277 51.3687408
g track track
e 32825731 33712095 158.827
f 7.36909 51.3701885 7.3691334 51.3702599 7.3692111 51.3703876 7.3692361 51.3704312 7.3692807 51.3705209 7.3693093 51.3705784 7.3693807 51.3707196 7.3694387 51.3708505 7.3695085 51.3710081 7.3695723 51.3711727
g
e 32825751 324364084 1088.099
f 7.3361753 51.3538404 7.3362129 51.353853 7.3365157 51.3539453 7.3366372 51.3539821 7.3370173 51.3540973 7.3376105 51.3543046 7.338232 51.3545378 7.3385047 51.3546578 7.338752 51.3547745 7.3389503 51.3548725 7.3393712 51.3550977 7.3399464 51.3554255 7.3404124 51.3556817 7.3408284 51.3558967 7.3412 51.3560726 7.3415932 51.3562424 7.3419431 51.3563884 7.3424019 51.3565594 7.3428442 51.3567091 7.3429024 51.3567291 7.3430758 51.3567808 7.3433769 51.35687 7.3433572 51.3569038 7.3433003 51.356997 7.3432771 51.357037 7.3431879 51.3572135 7.3431204 51.3573463 7.3430941 51.3573943 7.3430364 51.3574775 7.3428669 51.3577089 7.3425038 51.3581847 7.3423655 51.358386 7.3423183 51.3584514 7.3420837 51.3587863 7.3420396 51.3588357 7.341969 51.3588799 7.3418963 51.3589009 7.3416677 51.3589501 7.3416359 51.3589578 7.3416886 51.3590278 7.3420856 51.3594037 7.3425018 51.3598008 7.342908 51.3601048 7.3428537 51.3601433 7.3430849 51.3602842
g path
e 32831263 1194492641 61.278000000000006
f 7.2468655 51.3732471 7.2468895 51.3730902 7.2469554 51.3730077 7.2470666 51.3729071
g
e 32831272 437366964 250.581
f 7.2370278 51.3760223 7.2370207 51.3759144 7.2370296 51.3758634 7.2370496 51.3758 7.2370813 51.375743 7.237132 51.3756803 7.2371995 51.3756243 7.2373134 51.3755402 7.2375286 51.3754318 7.237738 51.3753506 7.2374849 51.3751675 7.2363242 51.3749161 7.2360842 51.3748848 7.2359379 51.3748052
g paved path
e 32862696 35139024 208.759
f 7.4306032 51.3992891 7.4306842 51.3993438 7.4307348 51.3993769 7.4308087 51.3994454 7.4309088 51.3995555 7.4310828 51.3998954 7.4310975 51.3999226 7.4311109 51.3999462 7.4312282 51.4001443 7.4312887 51.4002142 7.4314942 51.4004191 7.4315225 51.4004472 7.4315689 51.4004895 7.4316113 51.4005199 7.4316605 51.4005454 7.4317273 51.4005793 7.4318928 51.4006357 7.4320983 51.4006871
g
e 32862696 387607851 55.992999999999995
f 7.4306032 51.3992891 7.4308628 51.3992837 7.4309218 51.3992808 7.4309418 51.3992827 7.4312852 51.3993148
g
e 32862696 32862698 45.051
f 7.4306032 51.3992891 7.4305661 51.3991969 7.4305503 51.3991592 7.4305316 51.399073 7.4305132 51.3989663
g
e 32862698 1410740710 6.251
f
g
e 32862908 1410740710 145.29500000000002
f 7.4307638 51.397546 7.4307711 51.3976024 7.4307603 51.3976709 7.4307414 51.397728 7.4307082 51.3978298 7.4306482 51.3980124 7.4305429 51.3983186 7.430506 51.3984034 7.4304917 51.3984501 7.4304789 51.3986097 7.4304846 51.3987225
g
e 32862908 33045672 88.14399999999999
f 7.4307638 51.397546 7.4305723 51.3975667 7.4302983 51.3975923 7.4300469 51.3976211 7.4297812 51.3976589
g secondary
e 32862908 331579632 53.892999999999994
f 7.4307638 51.397546 7.430856 51.3975245 7.4309353 51.3974959 7.4310205 51.3974557 7.431141 51.3973719 7.4312368 51.3973222 7.4313525 51.3972829
g secondary
e 32864916 32864922 324.545
f 7.1768342 51.4340692 7.176655 51.4339209 7.1766304 51.4339005 7.1765113 51.4338019 7.1763251 51.4336481 7.1761354 51.4334914 7.1760015 51.4333781 7.1759674 51.4333493 7.1759585 51.4333416 7.1759203 51.433313 7.1759104 51.4333056 7.175896 51.4332947 7.1758705 51.4332756 7.1754137 51.4328933 7.1751409 51.4326923 7.1748742 51.4325084 7.1748408 51.4324845 7.1746881 51.432375 7.174565 51.4322851 7.1745318 51.4322628 7.1743973 51.4321726 7.1742106 51.4320473 7.1740959 51.4319746 7.1740161 51.4319217 7.1739486 51.4318777
g
e 32864916 1089391635 27.887999999999998
f 7.1768342 51.4340692 7.176876 51.4340937 7.1769019 51.434115 7.176981 51.4342197
g
e 32864922 1685545409 2007.6150000000002
f 7.1738597 51.4318197 7.1740116 51.4318057 7.174229 51.4317842 7.1744082 51.431768 7.1744852 51.431755 7.1746276 51.431726 7.1747781 51.4316996 7.1748538 51.4316932 7.1749154 51.4316945 7.1749861 51.4316963 7.1750464 51.4317033 7.1762244 51.4318726 7.1767553 51.4319787 7.1771133 51.4320999 7.1774559 51.4322 7.1776772 51.4322592 7.1777618 51.4323033 7.1783403 51.4327266 7.1783794 51.4327579 7.1784119 51.4327781 7.1785028 51.4328069 7.1786066 51.4328275 7.178711 51.432811 7.1784774 51.4325611 7.1783413 51.4324181 7.1782236 51.43228 7.1781469 51.4321498 7.1780689 51.4319889 7.1779472 51.4316876 7.1778199 51.4313367 7.1777472 51.4309392 7.1776971 51.4305454 7.177695 51.4299084 7.1777024 51.4296065 7.1777349 51.4295182 7.1778071 51.42943 7.1779468 51.42927 7.1780283 51.4291623 7.1780868 51.4291027 7.1781439 51.4290302 7.1782022 51.4289437 7.1782451 51.4288566 7.1782616 51.4288013 7.1782895 51.4286887 7.1783254 51.428469 7.1783542 51.4284172 7.1784467 51.4282914 7.1784623 51.4281628 7.1786064 51.4278103 7.1787911 51.4273867 7.1789075 51.4271339 7.1789834 51.4270197 7.1791476 51.4268473 7.1794962 51.4265623 7.1796432 51.4264576 7.1797595 51.4264173 7.179839 51.4264288 7.1800589 51.426494 7.1801756 51.426525 7.1802404 51.4264036 7.1802856 51.4263249 7.1802929 51.4262838 7.1802742 51.4262215 7.1802433 51.4261875 7.1798333 51.4256676 7.1804653 51.4252248 7.1808943 51.4248907 7.1809868 51.4247934 7.1810053 51.4247739 7.1810687 51.4246617 7.1811433 51.4245471 7.1811877 51.4244124 7.181238 51.4241866 7.1812542 51.4240336 7.1812922 51.4239194 7.1812851 51.4237699 7.1812964 51.4235813 7.1813491 51.4234758 7.1815939 51.4230632 7.1817902 51.4227537 7.1821833 51.4220516 7.1822406 51.4218619 7.1822741 51.4216384 7.1823008 51.4214303 7.1822905 51.421222 7.1821211 51.4207781 7.1817452 51.4204846 7.1816629 51.4204109 7.181624 51.4203651 7.1816014 51.4203269 7.1815945 51.4202877 7.1816087 51.4202534 7.1816361 51.4202086 7.1816784 51.4201655 7.1818575 51.4200104 7.182011 51.4198662 7.1820634 51.4198167 7.1820839 51.4198087 7.1821148 51.4197966 7.1821474 51.4197838
g unpaved compacted track unclassified path track footway
e 32864922 32864962 704.2269999999997
f 7.1738597 51.4318197 7.1736882 51.4317144 7.1736821 51.4317103 7.1736458 51.4316863 7.1735669 51.4316263 7.1735446 51.4316072 7.1735215 51.4315837 7.1734694 51.4315277 7.1734401 51.4314981 7.1733719 51.4314238 7.173306 51.431352 7.1732193 51.4312577 7.1731888 51.4312245 7.1730821 51.4311097 7.173057 51.4310828 7.1729962 51.4310173 7.1729537 51.4309716 7.1729181 51.4309304 7.1727712 51.4307681 7.1727564 51.4307517 7.1726789 51.430666 7.1725832 51.4305679 7.1724799 51.4304574 7.1724483 51.4304237 7.1724383 51.4304128 7.1724286 51.4304023 7.1722671 51.4302196 7.1722439 51.4301943 7.1721747 51.4301187 7.1721538 51.4300948 7.1720053 51.4299248 7.1719826 51.4299031 7.1719158 51.4298373 7.1718909 51.4298138 7.1718484 51.4297773 7.171799 51.4297377 7.1717811 51.4297242 7.1717115 51.4296717 7.1716783 51.4296466 7.1716447 51.4296213 7.171547 51.4295506 7.1715017 51.4295206 7.1714815 51.4295077 7.171423 51.4294704 7.1713497 51.4294235 7.1712734 51.4293748 7.1712111 51.429335 7.1711888 51.4293208 7.1710978 51.4292627 7.1710316 51.4292204 7.1710056 51.4292038 7.1708683 51.4291375 7.1707472 51.4290753 7.1707202 51.4290593 7.1706277 51.4290081 7.1704939 51.4289383 7.1702719 51.428842 7.1701052 51.4287709 7.1699628 51.4287114 7.1699042 51.4286869 7.1698239 51.4286531 7.1696315 51.4285728 7.1694867 51.4285101 7.1694467 51.4284928 7.1692006 51.4283862 7.1690908 51.4283427 7.1690783 51.4283377 7.1688592 51.428251 7.1687004 51.4281881 7.1685392 51.4281242 7.168401 51.4280695 7.1683738 51.4280587 7.1682793 51.4280213 7.1681821 51.4279828 7.1679493 51.4278747 7.1679279 51.4278647 7.1678241 51.4278165 7.1677518 51.4277829 7.1677326 51.4277727 7.1676959 51.4277531 7.1675611 51.4276812 7.1674744 51.4276349 7.1674349 51.4276138 7.1672712 51.4275265 7.167183 51.4274632 7.1671623 51.4274484 7.1671261 51.4274225 7.1670991 51.4273995 7.1670616 51.4273675
g
e 32864962 32864980 179.48600000000002
f 7.1669942 51.4273102 7.1669673 51.4272827 7.1667763 51.4270869 7.1667572 51.4270673 7.1667231 51.4270323 7.1666837 51.426992 7.1665668 51.4268841 7.1665294 51.4268495 7.1664966 51.4268192 7.1663597 51.4266955 7.1661869 51.4265591 7.1661324 51.4265165 7.1660996 51.4264909 7.1660915 51.4264846 7.1660445 51.4264478 7.1660035 51.4264155 7.165961 51.4263858 7.1659049 51.4263466 7.1658734 51.4263245 7.1658222 51.4262942 7.1657677 51.426262 7.1656645 51.4262011 7.1655104 51.4261101
g
e 32864980 1685545409 1536.9470000000001
f 7.165408 51.4260441 7.1656226 51.4258897 7.1658825 51.4257049 7.165941 51.4256586 7.1660524 51.4255458 7.166114 51.4254733 7.1661528 51.4254206 7.1661726 51.4253901 7.1661828 51.4253695 7.1661843 51.4253554 7.1661848 51.425313 7.166193 51.4251788 7.1662002 51.4251429 7.1662068 51.4251166 7.1662171 51.4250869 7.16623 51.4250585 7.1662717 51.4250077 7.166296 51.4249808 7.1663311 51.4249522 7.1664498 51.4248703 7.1666082 51.424793 7.1668901 51.424648 7.1669324 51.4246263 7.1674405 51.4243861 7.1675768 51.4243258 7.1676836 51.4242754 7.1678056 51.4242248 7.1678651 51.4242001 7.1680425 51.4241359 7.1680973 51.4241078 7.1681297 51.4240998 7.1681743 51.4240898 7.1682206 51.4240815 7.1682598 51.4240754 7.1683165 51.4240668 7.168413 51.4240535 7.1685266 51.4240408 7.1686154 51.4240303 7.1686613 51.424024 7.1686949 51.4240187 7.1687171 51.424014 7.1687333 51.4240106 7.1687526 51.4240054 7.1689295 51.4239451 7.1692477 51.4238102 7.1694706 51.42371 7.169716 51.4236106 7.1699866 51.4235145 7.1702355 51.423414 7.1705014 51.4233181 7.1707488 51.4232553 7.1709718 51.4232062 7.1711412 51.4231716 7.1712575 51.4231583 7.1714351 51.4231623 7.171564 51.4231717 7.1717649 51.4231864 7.1718978 51.4231961 7.1720669 51.4232085 7.1722013 51.4232183 7.1723855 51.4232324 7.1725223 51.4232426 7.1727146 51.4232512 7.1728255 51.4232519 7.1729079 51.4232522 7.173049 51.4232527 7.1731691 51.4232516 7.173192 51.4232503 7.1733892 51.4231997 7.1735497 51.4231209 7.1735696 51.4231003 7.1737437 51.4229197 7.1738828 51.4228048 7.1741213 51.4226558 7.1745929 51.4223779 7.1747864 51.4222639 7.1751419 51.4220494 7.1754625 51.4218163 7.175824 51.4215275 7.1759992 51.4214382 7.1763911 51.4212385 7.1767069 51.4210528 7.1777206 51.4205272 7.1779081 51.4204159 7.1783102 51.4201137 7.1785748 51.4197336 7.178651 51.4196198 7.1787405 51.4195039 7.1787646 51.4194787 7.1787857 51.4194612 7.1788018 51.4194504 7.1788326 51.4194348 7.1788833 51.4194114 7.1788919 51.4194081 7.178905 51.4194039 7.1789158 51.4194006 7.1789378 51.4193955 7.1789634 51.4193917 7.1789733 51.4193904 7.1789825 51.4193903 7.1795431 51.4194463 7.1796898 51.4194675 7.1799855 51.4195272 7.1800129 51.4195324 7.1800429 51.4195358 7.1800627 51.4195372 7.1800812 51.4195344 7.1801084 51.4195257 7.1801289 51.4195136 7.1801806 51.4194774 7.1802047 51.4194605 7.1802782 51.4194008 7.1804696 51.4192453 7.180527 51.4192986 7.1805724 51.4193249 7.1806319 51.4193555 7.1806914 51.4193811 7.1807587 51.4194041 7.1808502 51.4194329 7.1809345 51.4194565 7.1810239 51.4194815 7.1812639 51.4195614 7.1813221 51.4195838 7.1814627 51.4196378 7.1815268 51.4196624 7.1817222 51.4197154 7.1817488 51.419722 7.1817726 51.4197279 7.1818231 51.4197371 7.1818522 51.4197414 7.1818824 51.4197452 7.1819086 51.4197449 7.1819844 51.4197458
g unclassified
e 32931093 32939496 82.869
f 7.2456768 51.3633666 7.245826 51.36366 7.2459015 51.3638022 7.245917 51.363907 7.2460015 51.3639772
g secondary
e 32931101 54741548 214.76600000000002
f 7.2496974 51.3649047 7.2494049 51.3650469 7.2490049 51.3652414 7.2488674 51.3653082 7.2486064 51.3654351 7.2483706 51.3655498 7.2476278 51.3659109 7.2473632 51.3660384 7.2473164 51.366061
g
e 32931110 6661996831 409.388
f 7.2513941 51.3700771 7.2513804 51.3694528 7.2514096 51.369159 7.2514362 51.3689724 7.2514727 51.3688021 7.2515092 51.3686492 7.2515551 51.3684845 7.2515956 51.3683437 7.2516412 51.3682053 7.251663 51.3681441 7.2517344 51.3679437 7.251793 51.3678209 7.2518455 51.3677184 7.2519168 51.3675983 7.252052 51.3673392 7.252147 51.3671773 7.2522527 51.3670305 7.2522876 51.366982 7.2524138 51.3668215 7.2526163 51.3665887
g secondary
e 32939496 4303214870 191.25699999999998
f 7.2460644 51.3640632 7.2461094 51.364144 7.2461688 51.3642315 7.2463021 51.3644548 7.2465217 51.3648171 7.2465625 51.3648865 7.2466304 51.365002 7.2467834 51.3652623 7.2468735 51.3654154
g secondary
e 33045672 1410740710 173.557
f 7.4295202 51.3977044 7.4295905 51.3978595 7.4296343 51.3979579 7.429725 51.3981357 7.4297503 51.398192 7.4297573 51.3982142 7.4297524 51.3982509 7.4297109 51.3983676 7.4296797 51.398478 7.4296768 51.398509 7.4296855 51.3985411 7.4297366 51.3986176 7.4298365 51.3987248 7.4300038 51.3988712 7.4301217 51.3988552 7.4302179 51.3988458 7.4303429 51.398841 7.4304257 51.398837
g
e 33045672 1670847391 140.38199999999998
f 7.4295202 51.3977044 7.4295037 51.3976597 7.4295016 51.3976478 7.429451 51.3975101 7.4294368 51.3974726 7.429392 51.3973341 7.4293487 51.3972721 7.4293034 51.3972478 7.4291143 51.3972168 7.4287928 51.3971622 7.4286259 51.3971256 7.4285807 51.3971157 7.428526 51.397096 7.4284788 51.3970549 7.4284368 51.3970083 7.4283434 51.3969126
g
e 33045672 2145346200 210.54899999999998
f 7.4295202 51.3977044 7.4293287 51.3977382 7.4291121 51.3977999 7.4287034 51.3979543 7.4286541 51.3979754 7.428593 51.3980004 7.4285401 51.3980221 7.4283956 51.3980844 7.4282671 51.3981335 7.4281091 51.3981973 7.4280249 51.3982376 7.4278924 51.398297 7.427616 51.3984094 7.4275487 51.3984356 7.4274941 51.3984589 7.4274163 51.3984954 7.4272557 51.3985624 7.427048 51.3986113 7.4269466 51.3986283
g secondary
e 33045726 34078252 151.722
f 7.4315336 51.396932 7.4312277 51.396798 7.4311901 51.3967851 7.4311158 51.3967597 7.4310332 51.3967377 7.4309596 51.3966886 7.4309343 51.3966513 7.4307354 51.3965355 7.4306138 51.3964577 7.4305544 51.3964147 7.4304682 51.396365 7.430441 51.396336 7.4303775 51.3962799 7.4302891 51.3961962 7.4302772 51.3961776 7.4302728 51.3961513 7.4302965 51.3960071 7.4302927 51.3959826
g compacted path
e 33045726 226181771 25.737000000000002
f 7.4315336 51.396932 7.4314991 51.3969652 7.4314841 51.3970173 7.4314839 51.3971306
g
e 33045726 1591352617 5.247
f 7.4315336 51.396932 7.4315631 51.3969154
g
e 33142160 1745116472 10.533000000000001
f 7.2597706 51.3217961 7.2598337 51.321781 7.2598895 51.3217817
g secondary
e 33142160 1745116477 17.054
f 7.2597706 51.3217961 7.2597371 51.3218144 7.2597022 51.3218571 7.2597002 51.3218972
g secondary
e 33142232 1569019174 3105.741000000002
f 7.2601605 51.3216949 7.2600933 51.3215845 7.2600126 51.3213094 7.2599914 51.321173 7.2600125 51.3210855 7.2601291 51.3209747 7.2602473 51.3208741 7.260393 51.32074 7.2604308 51.3207094 7.2605044 51.3206518 7.2606936 51.3205265 7.260833 51.3204188 7.2608982 51.3203684 7.2610852 51.32021 7.2612413 51.3200443 7.2613163 51.3199857 7.2614097 51.3199393 7.2615842 51.3198999 7.2617437 51.3199076 7.2619074 51.3199549 7.262059 51.3200114 7.2621786 51.320041 7.2624893 51.3200674 7.2627881 51.320102 7.2631034 51.3201409 7.2634808 51.3201873 7.2637549 51.3202218 7.2639568 51.3202478 7.2641386 51.3202718 7.2643283 51.3202984 7.26455 51.3203283 7.2652496 51.3204205 7.265298 51.3204239 7.2653307 51.3204149 7.2653624 51.3203819 7.2654904 51.3201683 7.2655961 51.3199756 7.2656883 51.3198351 7.2657388 51.3197756 7.2657606 51.3197613 7.265785 51.3197492 7.2658303 51.3197477 7.2659568 51.3197769 7.2663009 51.3198249 7.2666518 51.3198603 7.2672691 51.3199257 7.267853 51.3200029 7.2681306 51.3200295 7.2682505 51.3200373 7.2684036 51.320035 7.2687947 51.3199908 7.2690566 51.3199646 7.2691502 51.3199763 7.2692455 51.3200084 7.2693747 51.3200736 7.2695015 51.3201768 7.2696173 51.3202897 7.2696879 51.3203268 7.2698303 51.3204163 7.2699769 51.3204784 7.2702595 51.3205812 7.2705826 51.3206436 7.2709241 51.3207015 7.2712058 51.320754 7.2714348 51.3207972 7.2716463 51.3208375 7.2719116 51.3208932 7.2721197 51.320946 7.2722631 51.3209923 7.2723789 51.3210248 7.2725422 51.3210684 7.2727584 51.3211236 7.2729138 51.3211599 7.2730546 51.3211863 7.2731596 51.3212125 7.2732569 51.3212481 7.2733022 51.3212669 7.2739408 51.3214356 7.2743481 51.3215612 7.2744087 51.3215926 7.2744684 51.321636 7.2745191 51.321694 7.2745343 51.3217639 7.2745513 51.3218387 7.2746429 51.3218437 7.2747391 51.3218594 7.2748467 51.321887 7.2749499 51.3219262 7.2750489 51.3219693 7.275184 51.3220328 7.2753708 51.3222068 7.2755849 51.3221477 7.2757156 51.3221768 7.2758259 51.3222206 7.2760926 51.3223202 7.2763394 51.3224191 7.2765593 51.3224828 7.2767907 51.3225382 7.2769959 51.3225896 7.2772676 51.3226589 7.2773892 51.3226908 7.2775289 51.3227323 7.2775932 51.3227666 7.2776263 51.3226565 7.2776042 51.3224147 7.2775787 51.3222719 7.2776685 51.3219602 7.2776376 51.3217935 7.2776498 51.3216513 7.2776269 51.321563 7.2775835 51.3214933 7.2775112 51.3214418 7.2773737 51.321392 7.2771508 51.3213314 7.2768931 51.3212545 7.2765183 51.321165 7.2760725 51.3210564 7.2757077 51.3209786 7.2752605 51.320899 7.274916 51.3208312 7.2745035 51.320786 7.274159 51.3207624 7.2740442 51.3207716 7.2747125 51.3204744 7.2750585 51.3203528 7.2753028 51.3203472 7.2757935 51.3204178 7.276472 51.3204956 7.2769424 51.3205309 7.2778696 51.3205818 7.2780528 51.3205182 7.2782835 51.320456 7.2784252 51.3204258 7.2784548 51.3202803 7.2784773 51.3200885 7.2784959 51.319974 7.278672 51.3200202 7.2792181 51.320142 7.2799862 51.3203055 7.280366 51.3204066 7.2806089 51.3204818 7.2808183 51.3205694 7.2808827 51.3205963 7.2810639 51.3206783 7.2816474 51.3209423 7.2819689 51.3211076 7.2831528 51.3214989 7.2838494 51.3216368 7.2839018 51.3216471 7.2841058 51.3216875 7.284557 51.3217833 7.2849709 51.3218735 7.2854462 51.3220383 7.2858154 51.3221933 7.2866226 51.3225752 7.2867928 51.3226433 7.2866224 51.322863 7.2866247 51.3229243 7.2868581 51.3232877 7.2869752 51.3234435 7.2870924 51.3235287 7.287401 51.323705
g compacted track unclassified path track footway
e 33142237 1745116477 19.601
f 7.2596438 51.3220938 7.2596267 51.3220658 7.2596434 51.3220327 7.2596937 51.3219703
g
e 33142237 1361143652 3177.4999999999995
f 7.2596438 51.3220938 7.2596447 51.3221241 7.259659 51.3221543 7.2596917 51.3221861 7.2599552 51.3223752 7.2600065 51.3224224 7.2600423 51.322479 7.2600617 51.3225415 7.260066 51.3225956 7.2600513 51.3226424 7.2600325 51.3226842 7.2598074 51.3230001 7.2595817 51.3230121 7.2595779 51.3229938 7.2588036 51.3230372 7.2587004 51.3228167 7.2585198 51.3228419 7.2581496 51.3228827 7.2580449 51.3229134 7.2574939 51.3231065 7.2572557 51.3234021 7.2573522 51.3234362 7.2573921 51.3234796 7.2574274 51.3235059 7.2574658 51.3235346 7.2574577 51.3235617 7.2575221 51.3236966 7.257626 51.3239187 7.2578122 51.3241857 7.2581132 51.3245163 7.257741 51.3248263 7.2576501 51.3249045 7.2572364 51.3252743 7.2570076 51.3254796 7.2570427 51.325588 7.2570645 51.3257089 7.2570756 51.3257981 7.2570685 51.3258694 7.2570298 51.3259512 7.2569706 51.3260207 7.2569545 51.3260663 7.2569765 51.3261068 7.2569491 51.3261124 7.2569223 51.326144 7.2569214 51.3261803 7.256922 51.3262265 7.2569395 51.3262718 7.2572735 51.3269916 7.2572859 51.3270742 7.2572773 51.3271463 7.2571755 51.327346 7.2575122 51.3274392 7.257598 51.3275216 7.2573047 51.3276195 7.2572754 51.3276319 7.2571633 51.3276794 7.2567518 51.3277614 7.2563051 51.3278624 7.2559011 51.3279613 7.2554857 51.3280489 7.255363 51.328088 7.2552777 51.3281176 7.2550256 51.3282805 7.2549448 51.3283337 7.2548741 51.3283768 7.2547813 51.3284331 7.2546513 51.3285239 7.2545515 51.3286005 7.2543559 51.3287925 7.254191 51.3287469 7.2540365 51.3286932 7.2538477 51.3286396 7.2535221 51.3286388 7.2532925 51.3286405 7.2529331 51.3286293 7.252748 51.3286219 7.2525093 51.3286078 7.2522006 51.3285549 7.2523953 51.3288073 7.2525697 51.3289397 7.2527466 51.329108 7.2529114 51.3291968 7.253082 51.3292738 7.2529961 51.3294079 7.2528149 51.3295299 7.2527249 51.3296489 7.2526935 51.3297683 7.2527558 51.3299013 7.2528416 51.3300622 7.253026 51.3301285 7.2532104 51.330183 7.2533517 51.3302519 7.2533988 51.3302614 7.2536828 51.3302392 7.2538144 51.3302313 7.253929 51.3302328 7.2540773 51.330243 7.2543053 51.3302649 7.2545581 51.3303011 7.2547332 51.3303334 7.254802 51.3303646 7.2548248 51.330414 7.2546245 51.3304709 7.254367 51.330491 7.2541683 51.3304819 7.2540344 51.3305178 7.2539368 51.3306143 7.2539835 51.3306404 7.2546515 51.3309273 7.2550133 51.3310288 7.2554586 51.3310317 7.2558622 51.331023 7.2561822 51.3310983 7.2566415 51.3312606 7.2572561 51.3314719 7.2573966 51.3315202 7.2577316 51.3316374 7.2582171 51.3318288 7.2585109 51.3319446 7.2587845 51.3320983 7.2589423 51.3322258 7.2591278 51.3323794 7.2595546 51.332617 7.2600834 51.3329185 7.2605194 51.3331184 7.260941 51.333324 7.2613563 51.3334992 7.2619337 51.3337773 7.2621423 51.333869 7.2625149 51.3340328 7.263114 51.3342948 7.2636802 51.3345423 7.2639481 51.3346688 7.2644471 51.3349064 7.2644918 51.3349333 7.264771 51.3350669 7.2650881 51.3351815 7.2659307 51.3354847 7.2665964 51.3357414 7.2668239 51.3360142 7.2669896 51.3362334 7.2672592 51.3366842 7.2676221 51.3371986 7.2679574 51.3376259 7.2685596 51.3382741 7.2688393 51.3385559 7.269029 51.3387876
g paved track path track footway
e 33150001 8439169128 102.286
f 7.4275606 51.5729907 7.4281892 51.5725531
g unpaved track track
e 33256931 278454484 456.23099999999994
f 7.3359467 51.3534566 7.3358443 51.35338 7.3356852 51.3532741 7.3355547 51.3531915 7.335395 51.3530955 7.3351174 51.3529494 7.3347403 51.3527856 7.3345916 51.3527264 7.3344234 51.3526693 7.3340657 51.3525666 7.3336239 51.3524398 7.333467 51.352399 7.3333055 51.35236 7.3331201 51.3523105 7.332905 51.3522548 7.3326685 51.3521875 7.3325819 51.3521615 7.3323488 51.3520684 7.3322031 51.351998 7.3322987 51.3519223 7.3323927 51.3518352 7.3325182 51.3517098 7.3325759 51.3516603 7.3326982 51.3515555 7.3328482 51.3514092 7.332874 51.3513627 7.3329179 51.3512269 7.3329606 51.3510856 7.3329759 51.3509783 7.3329784 51.3509243
g unclassified secondary
e 33256935 336387833 95.13300000000001
f 7.281625 51.3348639 7.2816962 51.3349012 7.2818066 51.3349634 7.2818796 51.3350051 7.2821259 51.3351501 7.2823339 51.3352726 7.2824471 51.3353365
g secondary
e 33256935 1353668942 2263.9110000000005
